userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000101057	MYBL2	MYB proto-oncogene like 2	4605	https://www.ncbi.nlm.nih.gov/gene/?term=4605
ENSG00000093009	CDC45	cell division cycle 45	8318	https://www.ncbi.nlm.nih.gov/gene/?term=8318
ENSG00000113296	THBS4	thrombospondin 4	7060	https://www.ncbi.nlm.nih.gov/gene/?term=7060
ENSG00000185480	PARPBP	PARP1 binding protein	55010	https://www.ncbi.nlm.nih.gov/gene/?term=55010
ENSG00000075218	GTSE1	G2 and S-phase expressed 1	51512	https://www.ncbi.nlm.nih.gov/gene/?term=51512
ENSG00000156970	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	701	https://www.ncbi.nlm.nih.gov/gene/?term=701
ENSG00000104938	CLEC4M	C-type lectin domain family 4 member M	10332	https://www.ncbi.nlm.nih.gov/gene/?term=10332
ENSG00000183856	IQGAP3	IQ motif containing GTPase activating protein 3	128239	https://www.ncbi.nlm.nih.gov/gene/?term=128239
ENSG00000147378	FATE1	fetal and adult testis expressed 1	89885	https://www.ncbi.nlm.nih.gov/gene/?term=89885
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	1029	https://www.ncbi.nlm.nih.gov/gene/?term=1029
ENSG00000129810	SGO1	shugoshin 1	151648	https://www.ncbi.nlm.nih.gov/gene/?term=151648
ENSG00000137310	TCF19	transcription factor 19	6941	https://www.ncbi.nlm.nih.gov/gene/?term=6941
ENSG00000024526	DEPDC1	DEP domain containing 1	55635	https://www.ncbi.nlm.nih.gov/gene/?term=55635
ENSG00000245614	DDX11-AS1	DDX11 antisense RNA 1	100506660	https://www.ncbi.nlm.nih.gov/gene/?term=100506660
ENSG00000162062	TEDC2	tubulin epsilon and delta complex 2	80178	https://www.ncbi.nlm.nih.gov/gene/?term=80178
ENSG00000164100	NDST3	N-deacetylase and N-sulfotransferase 3	9348	https://www.ncbi.nlm.nih.gov/gene/?term=9348
ENSG00000168078	PBK	PDZ binding kinase	55872	https://www.ncbi.nlm.nih.gov/gene/?term=55872
ENSG00000203760	CENPW	centromere protein W	387103	https://www.ncbi.nlm.nih.gov/gene/?term=387103
ENSG00000160298	C21orf58	chromosome 21 open reading frame 58	54058	https://www.ncbi.nlm.nih.gov/gene/?term=54058
ENSG00000109674	NEIL3	nei like DNA glycosylase 3	55247	https://www.ncbi.nlm.nih.gov/gene/?term=55247
ENSG00000123080	CDKN2C	cyclin dependent kinase inhibitor 2C	1031	https://www.ncbi.nlm.nih.gov/gene/?term=1031
ENSG00000185585	OLFML2A	olfactomedin like 2A	169611	https://www.ncbi.nlm.nih.gov/gene/?term=169611
ENSG00000118193	KIF14	kinesin family member 14	9928	https://www.ncbi.nlm.nih.gov/gene/?term=9928
ENSG00000169607	CKAP2L	cytoskeleton associated protein 2 like	150468	https://www.ncbi.nlm.nih.gov/gene/?term=150468
ENSG00000102384	CENPI	centromere protein I	2491	https://www.ncbi.nlm.nih.gov/gene/?term=2491
ENSG00000121152	NCAPH	non-SMC condensin I complex subunit H	23397	https://www.ncbi.nlm.nih.gov/gene/?term=23397
ENSG00000105011	ASF1B	anti-silencing function 1B histone chaperone	55723	https://www.ncbi.nlm.nih.gov/gene/?term=55723
ENSG00000122952	ZWINT	ZW10 interacting kinetochore protein	11130	https://www.ncbi.nlm.nih.gov/gene/?term=11130
ENSG00000167900	TK1	thymidine kinase 1	7083	https://www.ncbi.nlm.nih.gov/gene/?term=7083
ENSG00000101447	FAM83D	family with sequence similarity 83 member D	81610	https://www.ncbi.nlm.nih.gov/gene/?term=81610
ENSG00000186871	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	54821	https://www.ncbi.nlm.nih.gov/gene/?term=54821
ENSG00000140525	FANCI	FA complementation group I	55215	https://www.ncbi.nlm.nih.gov/gene/?term=55215
ENSG00000145386	CCNA2	cyclin A2	890	https://www.ncbi.nlm.nih.gov/gene/?term=890
ENSG00000137807	KIF23	kinesin family member 23	9493	https://www.ncbi.nlm.nih.gov/gene/?term=9493
ENSG00000240498	CDKN2B-AS1	CDKN2B antisense RNA 1	100048912	https://www.ncbi.nlm.nih.gov/gene/?term=100048912
ENSG00000198826	ARHGAP11A	Rho GTPase activating protein 11A	9824	https://www.ncbi.nlm.nih.gov/gene/?term=9824
ENSG00000075702	WDR62	WD repeat domain 62	284403	https://www.ncbi.nlm.nih.gov/gene/?term=284403
ENSG00000121621	KIF18A	kinesin family member 18A	81930	https://www.ncbi.nlm.nih.gov/gene/?term=81930
ENSG00000185633	NDUFA4L2	NDUFA4, mitochondrial complex associated like 2	56901	https://www.ncbi.nlm.nih.gov/gene/?term=56901
ENSG00000166803	PCLAF	PCNA clamp associated factor	9768	https://www.ncbi.nlm.nih.gov/gene/?term=9768
ENSG00000085840	ORC1	origin recognition complex subunit 1	4998	https://www.ncbi.nlm.nih.gov/gene/?term=4998
ENSG00000146410	MTFR2	mitochondrial fission regulator 2	113115	https://www.ncbi.nlm.nih.gov/gene/?term=113115
ENSG00000137804	NUSAP1	nucleolar and spindle associated protein 1	51203	https://www.ncbi.nlm.nih.gov/gene/?term=51203
ENSG00000147257	GPC3	glypican 3	2719	https://www.ncbi.nlm.nih.gov/gene/?term=2719
ENSG00000187013	C17orf82	chromosome 17 open reading frame 82	388407	https://www.ncbi.nlm.nih.gov/gene/?term=388407
ENSG00000196584	XRCC2	X-ray repair cross complementing 2	7516	https://www.ncbi.nlm.nih.gov/gene/?term=7516
ENSG00000129173	E2F8	E2F transcription factor 8	79733	https://www.ncbi.nlm.nih.gov/gene/?term=79733
ENSG00000163808	KIF15	kinesin family member 15	56992	https://www.ncbi.nlm.nih.gov/gene/?term=56992
ENSG00000082684	SEMA5B	semaphorin 5B	54437	https://www.ncbi.nlm.nih.gov/gene/?term=54437
ENSG00000123473	STIL	STIL, centriolar assembly protein	6491	https://www.ncbi.nlm.nih.gov/gene/?term=6491
ENSG00000091651	ORC6	origin recognition complex subunit 6	23594	https://www.ncbi.nlm.nih.gov/gene/?term=23594
ENSG00000007968	E2F2	E2F transcription factor 2	1870	https://www.ncbi.nlm.nih.gov/gene/?term=1870
ENSG00000163535	SGO2	shugoshin 2	151246	https://www.ncbi.nlm.nih.gov/gene/?term=151246
ENSG00000171241	SHCBP1	SHC binding and spindle associated 1	79801	https://www.ncbi.nlm.nih.gov/gene/?term=79801
ENSG00000110492	MDK	midkine	4192	https://www.ncbi.nlm.nih.gov/gene/?term=4192
ENSG00000260428	SCX	scleraxis bHLH transcription factor	642658	https://www.ncbi.nlm.nih.gov/gene/?term=642658
ENSG00000196460	RFX8	RFX family member 8, lacking RFX DNA binding domain	731220	https://www.ncbi.nlm.nih.gov/gene/?term=731220
ENSG00000182963	GJC1	gap junction protein gamma 1	10052	https://www.ncbi.nlm.nih.gov/gene/?term=10052
ENSG00000101003	GINS1	GINS complex subunit 1	9837	https://www.ncbi.nlm.nih.gov/gene/?term=9837
ENSG00000188095	MESP2	mesoderm posterior bHLH transcription factor 2	145873	https://www.ncbi.nlm.nih.gov/gene/?term=145873
ENSG00000144583	MARCH4	membrane associated ring-CH-type finger 4	57574	https://www.ncbi.nlm.nih.gov/gene/?term=57574
ENSG00000051341	POLQ	DNA polymerase theta	10721	https://www.ncbi.nlm.nih.gov/gene/?term=10721
ENSG00000162745	OLFML2B	olfactomedin like 2B	25903	https://www.ncbi.nlm.nih.gov/gene/?term=25903
ENSG00000073111	MCM2	minichromosome maintenance complex component 2	4171	https://www.ncbi.nlm.nih.gov/gene/?term=4171
ENSG00000051180	RAD51	RAD51 recombinase	5888	https://www.ncbi.nlm.nih.gov/gene/?term=5888
ENSG00000231666	LINC01704	long intergenic non-protein coding RNA 1704	646268	https://www.ncbi.nlm.nih.gov/gene/?term=646268
ENSG00000139155	SLCO1C1	solute carrier organic anion transporter family member 1C1	53919	https://www.ncbi.nlm.nih.gov/gene/?term=53919
ENSG00000278023	RDM1	RAD52 motif containing 1	201299	https://www.ncbi.nlm.nih.gov/gene/?term=201299
ENSG00000139734	DIAPH3	diaphanous related formin 3	81624	https://www.ncbi.nlm.nih.gov/gene/?term=81624
ENSG00000199753	SNORD104	small nucleolar RNA, C/D box 104	692227	https://www.ncbi.nlm.nih.gov/gene/?term=692227
ENSG00000215784	FAM72D	family with sequence similarity 72 member D	728833	https://www.ncbi.nlm.nih.gov/gene/?term=728833
ENSG00000140451	PIF1	PIF1 5'-to-3' DNA helicase	80119	https://www.ncbi.nlm.nih.gov/gene/?term=80119
ENSG00000184661	CDCA2	cell division cycle associated 2	157313	https://www.ncbi.nlm.nih.gov/gene/?term=157313
ENSG00000085999	RAD54L	RAD54 like	8438	https://www.ncbi.nlm.nih.gov/gene/?term=8438
ENSG00000123219	CENPK	centromere protein K	64105	https://www.ncbi.nlm.nih.gov/gene/?term=64105
ENSG00000186868	MAPT	microtubule associated protein tau	4137	https://www.ncbi.nlm.nih.gov/gene/?term=4137
ENSG00000138160	KIF11	kinesin family member 11	3832	https://www.ncbi.nlm.nih.gov/gene/?term=3832
ENSG00000114346	ECT2	epithelial cell transforming 2	1894	https://www.ncbi.nlm.nih.gov/gene/?term=1894
ENSG00000276043	UHRF1	ubiquitin like with PHD and ring finger domains 1	29128	https://www.ncbi.nlm.nih.gov/gene/?term=29128
ENSG00000161381	PLXDC1	plexin domain containing 1	57125	https://www.ncbi.nlm.nih.gov/gene/?term=57125
ENSG00000138180	CEP55	centrosomal protein 55	55165	https://www.ncbi.nlm.nih.gov/gene/?term=55165
ENSG00000165891	E2F7	E2F transcription factor 7	144455	https://www.ncbi.nlm.nih.gov/gene/?term=144455
ENSG00000065328	MCM10	minichromosome maintenance 10 replication initiation factor	55388	https://www.ncbi.nlm.nih.gov/gene/?term=55388
ENSG00000099953	MMP11	matrix metallopeptidase 11	4320	https://www.ncbi.nlm.nih.gov/gene/?term=4320
ENSG00000106031	HOXA13	homeobox A13	3209	https://www.ncbi.nlm.nih.gov/gene/?term=3209
ENSG00000068489	PRR11	proline rich 11	55771	https://www.ncbi.nlm.nih.gov/gene/?term=55771
ENSG00000164362	TERT	telomerase reverse transcriptase	7015	https://www.ncbi.nlm.nih.gov/gene/?term=7015
ENSG00000115507	OTX1	orthodenticle homeobox 1	5013	https://www.ncbi.nlm.nih.gov/gene/?term=5013
ENSG00000228727	SAPCD1	suppressor APC domain containing 1	401251	https://www.ncbi.nlm.nih.gov/gene/?term=401251
ENSG00000159259	CHAF1B	chromatin assembly factor 1 subunit B	8208	https://www.ncbi.nlm.nih.gov/gene/?term=8208
ENSG00000128266	GNAZ	G protein subunit alpha z	2781	https://www.ncbi.nlm.nih.gov/gene/?term=2781
ENSG00000104147	OIP5	Opa interacting protein 5	11339	https://www.ncbi.nlm.nih.gov/gene/?term=11339
ENSG00000265688	MAFG-DT	MAFG divergent transcript	92659	https://www.ncbi.nlm.nih.gov/gene/?term=92659
ENSG00000224189	HAGLR	HOXD antisense growth-associated long non-coding RNA	401022	https://www.ncbi.nlm.nih.gov/gene/?term=401022
ENSG00000177602	HASPIN	histone H3 associated protein kinase	83903	https://www.ncbi.nlm.nih.gov/gene/?term=83903
ENSG00000135454	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1	2583	https://www.ncbi.nlm.nih.gov/gene/?term=2583
ENSG00000095596	CYP26A1	cytochrome P450 family 26 subfamily A member 1	1592	https://www.ncbi.nlm.nih.gov/gene/?term=1592
ENSG00000134253	TRIM45	tripartite motif containing 45	80263	https://www.ncbi.nlm.nih.gov/gene/?term=80263
ENSG00000125780	TGM3	transglutaminase 3	7053	https://www.ncbi.nlm.nih.gov/gene/?term=7053
ENSG00000119969	HELLS	helicase, lymphoid specific	3070	https://www.ncbi.nlm.nih.gov/gene/?term=3070
ENSG00000112280	COL9A1	collagen type IX alpha 1 chain	1297	https://www.ncbi.nlm.nih.gov/gene/?term=1297
ENSG00000121454	LHX4	LIM homeobox 4	89884	https://www.ncbi.nlm.nih.gov/gene/?term=89884
ENSG00000197299	BLM	BLM RecQ like helicase	641	https://www.ncbi.nlm.nih.gov/gene/?term=641
ENSG00000204410	MSH5	mutS homolog 5	4439	https://www.ncbi.nlm.nih.gov/gene/?term=4439
ENSG00000204410	MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	100532732	https://www.ncbi.nlm.nih.gov/gene/?term=100532732
ENSG00000126778	SIX1	SIX homeobox 1	6495	https://www.ncbi.nlm.nih.gov/gene/?term=6495
ENSG00000078900	TP73	tumor protein p73	7161	https://www.ncbi.nlm.nih.gov/gene/?term=7161
ENSG00000173894	CBX2	chromobox 2	84733	https://www.ncbi.nlm.nih.gov/gene/?term=84733
ENSG00000169258	GPRIN1	G protein regulated inducer of neurite outgrowth 1	114787	https://www.ncbi.nlm.nih.gov/gene/?term=114787
ENSG00000245812	LINC02202	long intergenic non-protein coding RNA 2202	101927740	https://www.ncbi.nlm.nih.gov/gene/?term=101927740
ENSG00000168268	NT5DC2	5'-nucleotidase domain containing 2	64943	https://www.ncbi.nlm.nih.gov/gene/?term=64943
ENSG00000245694	CRNDE	colorectal neoplasia differentially expressed	643911	https://www.ncbi.nlm.nih.gov/gene/?term=643911
ENSG00000245694	LOC101927480	uncharacterized LOC101927480	101927480	https://www.ncbi.nlm.nih.gov/gene/?term=101927480
ENSG00000111247	RAD51AP1	RAD51 associated protein 1	10635	https://www.ncbi.nlm.nih.gov/gene/?term=10635
ENSG00000169855	ROBO1	roundabout guidance receptor 1	6091	https://www.ncbi.nlm.nih.gov/gene/?term=6091
ENSG00000135119	RNFT2	ring finger protein, transmembrane 2	84900	https://www.ncbi.nlm.nih.gov/gene/?term=84900
ENSG00000035499	DEPDC1B	DEP domain containing 1B	55789	https://www.ncbi.nlm.nih.gov/gene/?term=55789
ENSG00000132692	BCAN	brevican	63827	https://www.ncbi.nlm.nih.gov/gene/?term=63827
ENSG00000182379	NXPH4	neurexophilin 4	11247	https://www.ncbi.nlm.nih.gov/gene/?term=11247
ENSG00000179772	FOXS1	forkhead box S1	2307	https://www.ncbi.nlm.nih.gov/gene/?term=2307
ENSG00000160284	SPATC1L	spermatogenesis and centriole associated 1 like	84221	https://www.ncbi.nlm.nih.gov/gene/?term=84221
ENSG00000149926	FAM57B	family with sequence similarity 57 member B	83723	https://www.ncbi.nlm.nih.gov/gene/?term=83723
ENSG00000130829	DUSP9	dual specificity phosphatase 9	1852	https://www.ncbi.nlm.nih.gov/gene/?term=1852
ENSG00000232850	PTGES2-AS1	PTGES2 antisense RNA 1 (head to head)	389791	https://www.ncbi.nlm.nih.gov/gene/?term=389791
ENSG00000176956	LY6H	lymphocyte antigen 6 family member H	4062	https://www.ncbi.nlm.nih.gov/gene/?term=4062
ENSG00000116675	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	9829	https://www.ncbi.nlm.nih.gov/gene/?term=9829
ENSG00000184489	PTP4A3	protein tyrosine phosphatase type IVA, member 3	11156	https://www.ncbi.nlm.nih.gov/gene/?term=11156
ENSG00000128709	HOXD9	homeobox D9	3235	https://www.ncbi.nlm.nih.gov/gene/?term=3235
ENSG00000189057	FAM111B	family with sequence similarity 111 member B	374393	https://www.ncbi.nlm.nih.gov/gene/?term=374393
ENSG00000178752	ERFE	erythroferrone	151176	https://www.ncbi.nlm.nih.gov/gene/?term=151176
ENSG00000225518	LINC01703	long intergenic non-protein coding RNA 1703	105373113	https://www.ncbi.nlm.nih.gov/gene/?term=105373113
ENSG00000139800	ZIC5	Zic family member 5	85416	https://www.ncbi.nlm.nih.gov/gene/?term=85416
ENSG00000196421	C20orf204	chromosome 20 open reading frame 204	284739	https://www.ncbi.nlm.nih.gov/gene/?term=284739
ENSG00000105173	CCNE1	cyclin E1	898	https://www.ncbi.nlm.nih.gov/gene/?term=898
ENSG00000263513	FAM72C	family with sequence similarity 72 member C	554282	https://www.ncbi.nlm.nih.gov/gene/?term=554282
ENSG00000263513	FAM72D	family with sequence similarity 72 member D	728833	https://www.ncbi.nlm.nih.gov/gene/?term=728833
ENSG00000244306	DUXAP10	double homeobox A pseudogene 10	503639	https://www.ncbi.nlm.nih.gov/gene/?term=503639
ENSG00000175879	HOXD8	homeobox D8	3234	https://www.ncbi.nlm.nih.gov/gene/?term=3234
ENSG00000198758	EPS8L3	EPS8 like 3	79574	https://www.ncbi.nlm.nih.gov/gene/?term=79574
ENSG00000251350	LINC02475	long intergenic non-protein coding RNA 2475	100506827	https://www.ncbi.nlm.nih.gov/gene/?term=100506827
ENSG00000181544	FANCB	FA complementation group B	2187	https://www.ncbi.nlm.nih.gov/gene/?term=2187
